,x,y
0,73.3223580527,87.4183230472
1,72.3618211502,92.9629110285
2,67.7170147811,90.4885417691
3,31.676889135,98.274944839
4,67.8885563363,80.4411967221
5,45.3306615505,42.5795038437
6,25.6120605196,64.9070175507
7,62.5212938066,45.4133120761
8,46.0501656294,87.4070971669
9,60.0065572492,71.2865231411
10,34.3282493975,84.9920039046
11,42.1268478577,79.4055552321
12,36.3441506683,30.0072490026
13,39.8701690669,76.6674658961
14,48.0530973743,23.4774213795
15,47.7374909356,21.7371129487
16,61.6529210511,24.435003665
17,69.6324335731,36.3156046668
18,73.24999524,44.2602506249
19,71.3843893665,67.8458690592
20,72.8055577302,69.0713872484
21,58.7623337014,14.6225740295
22,28.9769334589,58.2712702296
23,78.8930752529,53.8928184063
24,35.7022540681,34.1900774444
25,34.3276395669,42.1880737264
26,63.085311839,88.0617249187
27,38.1338466458,36.5167585795
28,64.2944610653,20.5161071419
29,64.9938909249,17.8383978423
30,56.9694817765,80.3032558207
31,59.4425266471,76.3004911844
32,28.3029850879,57.5944272114
33,77.7052134212,34.0399184712
34,48.9007045919,73.6426052594
35,60.3650370706,9.9691205098
36,37.1616688161,66.3133049291
37,33.6119288812,11.7765465374
38,42.4093086427,63.9142303362
39,41.0094951514,68.6238483608
40,33.013375342,70.5498669076
41,62.04225349317301,20.96060476357158
42,37.1501928071,75.451847051
43,42.0990032354,67.758691588
44,41.2979885049,64.6282793396
45,39.8717330517,63.1823160831
46,52.753415891,8.73693439959
47,55.9892988128,68.6761410024
48,48.3140243933,2.9354906215
49,67.7447415249,13.3945190415
50,41.6141370657,67.0823511861
51,74.526482945,47.2085142323
52,29.1726975522,28.1677688646
53,75.3517240813,23.8766475154
54,57.0029191098,8.9123100051
55,35.1635599012,23.8353261378
56,43.4866487518,14.794083527
57,74.4338053056,23.9752068418
58,38.349680703,21.9465921195
59,35.6537280522,34.200515634
60,73.0932729871,78.6345359336
61,42.4965462184,78.7882284653
62,36.0236657721,58.3337368373
63,35.7450211495,62.4088390196
64,67.7597288151,86.1910876479
65,70.6957468522,63.4440512733
66,62.3411477409,44.3057939352
67,75.0556367011,77.419284276
68,71.9257014014,90.2816674649
69,32.9818958008,78.527164804
70,32.8217016614,69.3881118013
71,70.7109206583,53.8912039206
72,73.1784658196,75.3092782926
73,62.0333287845,36.6461059815
74,32.8894862878,50.4429411072
75,41.2281812302,83.410491916
76,57.6976164419,79.9419736221
77,53.8561969641,24.7456047727
78,36.3793340618,88.5390708033
79,76.9521484195,91.9384786736
80,55.1864335348,59.0301432702
81,77.0152657739,74.0817666331
82,38.6492839748,87.4190222876
83,40.5361809551,66.0148553271
84,44.1288816912,86.4871003983
85,75.7983158505,92.6591033933
86,70.443626525,91.3342228145
87,37.8317534921,64.8991628269
88,49.1287781908,31.3260060678
89,58.5670102325,26.9032890387
90,55.0095949697,26.6352216463
91,59.3965929797,74.1210949735
92,65.7382601362,22.0683607199
93,80.3996333655,21.5845582908
94,73.8901965561,21.5419097958
95,75.3560632806,63.2528051157
96,79.2234966226,61.757301739
97,85.8896972195,58.3536590712
98,32.0342605317,28.1483038463
99,32.8938537863,29.1676335546
